,fight_id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time
908,62b64802ea49e2fd,win,Joanderson Brito,Jonathan Pearce,0,0,8,14,1,1,1,0,Featherweight,SUB Guillotine Choke,2,3:54
909,c1aef0f60a5b62e3,win,Jose Johnson,Chad Anheliger,0,0,63,26,1,4,1,0,Bantamweight,SUB Rear Naked Choke,3,4:49
910,16109688429c09de,win,Christian Leroy Duncan,Denis Tiuliulin,1,0,65,30,0,0,0,0,Middleweight,KO/TKO Punches,2,4:24
911,36f10b949b935b8c,win,Mick Parkin,Caio Machado,0,0,39,76,3,0,0,0,Heavyweight,U-DEC,3,5:00
912,f0fe73e650b746f2,win,Jeka Saragih,Lucas Alexander,1,0,4,11,1,0,0,0,Featherweight,KO/TKO Punch,1,1:31
913,6997693d552600dd,win,Ailin Perez,Lucie Pudilova,0,0,42,20,2,0,0,1,Women's Bantamweight,U-DEC,3,5:00
914,6e5a3d6b6ed84ac3,ncnc,Trey Ogden,Nikolas Motta,0,0,58,14,3,0,1,0,Lightweight,Overturned,3,3:11
915,9abf0b60a44a82d1,win,Rafael Estevam,Charles Johnson,0,0,18,72,3,0,1,0,Flyweight,U-DEC,3,5:00
916,b1f2ec122beda7a5,win,Alex Pereira,Jiri Prochazka,1,0,38,30,0,1,1,0,Light Heavyweight,KO/TKO Elbows,2,4:08
917,db49619221b282af,win,Tom Aspinall,Sergei Pavlovich,1,0,10,1,0,0,0,0,Heavyweight,KO/TKO Punch,1,1:09
918,6fd67582d8adb1c7,win,Jessica Andrade,Mackenzie Dern,4,0,53,49,0,0,0,0,Women's Strawweight,KO/TKO Punch,2,3:15
919,9fe98de1eac21f2e,win,Benoit Saint Denis,Matt Frevola,1,0,6,5,0,2,0,0,Lightweight,KO/TKO Kick,1,1:31
920,128ab9aa4802c73f,win,Diego Lopes,Pat Sabatini,1,0,13,7,0,0,0,0,Featherweight,KO/TKO Punches,1,1:30
921,5704e73f91b9e7f7,win,Steve Erceg,Alessandro Costa,0,0,74,54,1,1,1,0,Flyweight,U-DEC,3,5:00
922,a0362d60d2e1db0d,win,Loopy Godinez,Tabatha Ricci,0,0,98,84,0,0,0,0,Women's Strawweight,S-DEC,3,5:00
923,480c4dbd2e792d86,win,Mateusz Rebecki,Roosevelt Roberts,0,0,10,2,2,0,1,0,Lightweight,SUB Armbar,1,3:08
924,83a0fff04494bfc4,drawdraw,Nazim Sadykhov,Viacheslav Borshchev,1,0,91,143,4,0,0,0,Lightweight,M-DEC,3,5:00
925,4c025d1fff9e9fce,win,Jared Gordon,Mark Madsen,1,0,36,35,0,0,0,0,Lightweight,KO/TKO Punch,1,4:42
926,57333b7bff20ece0,win,John Castaneda,Kyung Ho Kang,0,0,111,88,3,0,0,0,Catch Weight,U-DEC,3,5:00
927,8a0fc4624578a7e4,win,Joshua Van,Kevin Borjas,0,0,156,75,2,0,0,0,Flyweight,U-DEC,3,5:00
928,1cf69de0eea46877,win,Jamall Emmers,Dennis Buzukja,1,0,14,3,0,0,0,0,Featherweight,KO/TKO Punch,1,0:49
929,ac37849f627a79c4,win,Jailton Almeida,Derrick Lewis,0,0,38,20,6,0,4,0,Heavyweight,U-DEC,5,5:00
930,3a81276a9641c6a1,win,Nicolas Dalby,Gabriel Bonfim,1,0,53,39,0,3,0,1,Welterweight,KO/TKO Knees,2,4:33
931,119bc264e2bb9877,win,Rodrigo Nascimento,Don'Tale Mayes,0,0,70,79,0,0,0,0,Heavyweight,U-DEC,3,5:00
932,7d474fbf31894108,win,Caio Borralho,Abus Magomedov,1,0,51,38,0,0,0,0,Middleweight,U-DEC,3,5:00
933,ff8f92cf8fb1b76c,win,Elves Brener,Kaynan Kruschewsky,1,0,16,8,0,0,0,0,Catch Weight,KO/TKO Punch,1,4:01
934,b5ea6535748edbce,drawdraw,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,1,0,87,75,1,0,0,1,Welterweight,M-DEC,3,5:00
935,6532b71560ae39e0,win,Vitor Petrino,Modestas Bukauskas,1,0,8,9,1,0,0,0,Light Heavyweight,KO/TKO Punch,2,1:03
936,7df5998eca143c04,win,Angela Hill,Denise Gomes,0,0,76,62,5,1,0,0,Women's Strawweight,U-DEC,3,5:00
937,9e2bb8d5961b44d4,win,Eduarda Moura,Montserrat Conejo Ruiz,0,0,57,5,3,0,0,0,Women's Strawweight,KO/TKO Punches,2,2:14
938,3c69bed42893da75,win,Marc Diakiese,Kaue Fernandes,0,0,13,23,3,1,0,0,Lightweight,S-DEC,3,5:00
939,0ea435ddf02deb60,win,Islam Makhachev,Alexander Volkanovski,1,0,24,4,0,0,0,0,Lightweight,KO/TKO Kick,1,3:06
940,f23e9729b2b73c27,win,Khamzat Chimaev,Kamaru Usman,0,0,38,36,4,0,1,0,Middleweight,M-DEC,3,5:00
941,821960adf5bfa15c,ncnc,Magomed Ankalaev,Johnny Walker,0,0,13,14,1,0,0,0,Light Heavyweight,CNC,1,3:13
942,7024385b5107bd4b,win,Ikram Aliskerov,Warlley Alves,1,0,26,12,0,0,0,0,Middleweight,KO/TKO Punches,1,2:07
943,ed3334d108b257a6,win,Said Nurmagomedov,Muin Gafurov,0,0,5,1,0,0,1,0,Bantamweight,SUB Guillotine Choke,1,1:13
944,e9256316716499b8,win,Muhammad Mokaev,Tim Elliott,0,0,14,30,3,1,1,2,Flyweight,SUB Arm Triangle,3,3:03
945,3c6fb6bf9b7afd40,win,Trevor Peek,Mohammad Yahya,0,0,61,43,4,1,0,1,Lightweight,U-DEC,3,5:00
946,0d1af8c6a5793185,ncnc,Javid Basharat,Victor Henry,0,0,30,25,1,0,0,0,Bantamweight,CNC,2,0:15
947,43de9ff6064361e1,win,Sedriques Dumas,Abu Azaitar,0,0,34,41,1,2,0,0,Middleweight,U-DEC,3,5:00
948,75c5f923f966b53b,win,Mike Breeden,Anshul Jubli,1,0,92,103,0,0,0,0,Lightweight,KO/TKO Punch,3,3:00
949,b84c447bb74febe2,win,Muhammad Naimov,Nathaniel Wood,0,0,48,50,4,2,0,0,Featherweight,U-DEC,3,5:00
950,18e5af00a8478a0e,win,Viktoriia Dudakova,Jinh Yu Frey,1,0,74,47,0,1,0,0,Women's Strawweight,U-DEC,3,5:00
951,539732694ab2c8d6,win,Shara Magomedov,Bruno Silva,0,0,113,65,0,3,0,0,Middleweight,U-DEC,3,5:00
952,824859c7580eb35b,win,Edson Barboza,Sodiq Yusuff,1,1,164,178,3,1,0,0,Featherweight,U-DEC,5,5:00
953,751cf3d52fce1d1f,win,Viviane Araujo,Jennifer Maia,0,0,24,41,2,2,1,0,Women's Flyweight,U-DEC,3,5:00
954,0d6d212fcdf47f2e,win,Jonathan Martinez,Adrian Yanez,2,0,36,20,0,0,0,0,Bantamweight,KO/TKO Kicks,2,2:26
955,6acd1c591170f597,win,Michel Pereira,Andre Petroski,1,0,6,0,0,0,0,0,Middleweight,KO/TKO Punch,1,1:06
956,0197a61472fc351d,win,Christian Rodriguez,Cameron Saaiman,0,0,83,73,3,0,2,1,Bantamweight,U-DEC,3,5:00
957,3a8af8ee23444b72,win,Darren Elkins,TJ Brown,0,0,11,15,5,2,2,0,Featherweight,SUB Rear Naked Choke,3,2:23
958,5b7b5b01f4dcbd9c,win,Tainara Lisboa,Ravena Oliveira,0,0,18,15,3,2,0,0,Women's Bantamweight,U-DEC,3,5:00
959,7f7d2abc21f171ca,win,Terrance McKinney,Brendon Marotte,1,0,14,1,0,0,0,0,Lightweight,KO/TKO Knee,1,0:20
960,1ba282da76ca82ad,win,Melissa Mullins,Irina Alekseeva,0,1,52,48,0,1,0,0,Women's Bantamweight,U-DEC,3,5:00
961,a74a8c1e0a49070d,win,Chris Gutierrez,Alatengheili,0,0,110,38,0,2,0,0,Bantamweight,U-DEC,3,5:00
962,85a130a4b655c8f5,win,Emily Ducote,Ashley Yoder,0,0,117,102,1,0,0,0,Women's Strawweight,U-DEC,3,5:00
963,1aa4c2fa5ffaff00,win,King Green,Grant Dawson,1,0,7,0,0,0,0,0,Lightweight,KO/TKO Punch,1,0:33
964,e966de63c8e6b1d5,win,Joe Pyfer,Abdul Razak Alhassan,0,0,26,11,3,0,2,1,Middleweight,SUB Arm Triangle,2,2:05
965,eb76a5b76a68e4c4,win,Joaquin Buckley,Alex Morono,0,0,68,40,2,1,0,0,Welterweight,U-DEC,3,5:00
966,68095e551ff6bbfd,win,Drew Dober,Ricky Glenn,1,0,30,5,0,0,0,0,Lightweight,KO/TKO Punches,1,2:36
967,b638646fb297228d,win,Bill Algeo,Alexander Hernandez,1,0,110,75,1,0,0,0,Featherweight,U-DEC,3,5:00
968,b6a6ba08898f3b6a,win,Karolina Kowalkiewicz,Diana Belbita,0,0,141,99,1,2,0,0,Women's Strawweight,U-DEC,3,5:00
969,eb7b0a6f06dbdb4f,win,Nate Maness,Mateus Mendonca,0,0,29,3,0,0,0,0,Flyweight,KO/TKO Punches,1,4:40
970,5ee83e03aaff5fa1,win,Vanessa Demopoulos,Kanako Murata,0,0,31,34,0,5,0,0,Women's Strawweight,U-DEC,3,5:00
971,df146b0592259e5d,win,Aoriqileng,Johnny Munoz,1,0,44,7,2,4,0,3,Bantamweight,U-DEC,3,5:00
972,cc4fcfede19bc196,win,JJ Aldrich,Montana De La Rosa,0,0,65,67,0,0,0,0,Women's Flyweight,U-DEC,3,5:00
973,23a604f460289271,win,Mateusz Gamrot,Rafael Fiziev,0,0,16,18,1,0,0,0,Lightweight,KO/TKO,2,2:03
974,da1b37edb8ccd3e6,win,Bryce Mitchell,Dan Ige,0,0,23,18,5,0,1,0,Featherweight,U-DEC,3,5:00
975,d8335b728604b222,win,Marina Rodriguez,Michelle Waterson-Gomez,0,0,70,13,1,1,0,0,Women's Strawweight,KO/TKO Punches,2,2:42
976,bf647be41de365e4,win,Bryan Battle,AJ Fletcher,0,0,45,25,1,0,1,0,Welterweight,SUB Rear Naked Choke,2,4:32
977,6e1bf1b163b3aeab,win,Charles Jourdain,Ricardo Ramos,0,0,8,0,0,2,1,1,Featherweight,SUB Guillotine Choke,1,3:12
978,b78545b32a97ac44,ncnc,Dan Argueta,Miles Johns,0,0,33,43,2,2,2,0,Bantamweight,Overturned,3,5:00
979,b3c7a5a97978d156,win,Tim Means,Andre Fialho,2,0,104,51,0,1,0,0,Welterweight,KO/TKO Punches,3,1:15
980,1496969c1497dc85,win,Cody Brundage,Jacob Malkoun,0,0,2,28,1,1,0,0,Middleweight,DQ,1,4:15
981,49ede01b061cfae3,win,Mohammed Usman,Jake Collier,0,0,85,87,1,0,0,2,Heavyweight,U-DEC,3,5:00
982,adb411b0f418ce33,win,Mizuki,Hannah Goldy,0,0,55,47,1,1,0,0,Women's Strawweight,U-DEC,3,5:00
983,0732e6b6eb0a607d,win,Montserrat Rendon,Tamires Vidal,0,0,69,60,3,0,0,1,Women's Bantamweight,S-DEC,3,5:00
984,b395c89e19a3fec4,drawdraw,Alexa Grasso,Valentina Shevchenko,1,0,84,80,1,4,1,1,Women's Flyweight,S-DEC,5,5:00
985,697efaf0d162e877,win,Jack Della Maddalena,Kevin Holland,0,0,105,127,0,0,0,0,Welterweight,S-DEC,3,5:00
986,c0ca4c201d086ea8,win,Raul Rosas Jr.,Terrence Mitchell,1,0,18,6,0,0,0,0,Bantamweight,KO/TKO Punches,1,0:54
987,2e1435c160bfe8b2,win,Daniel Zellhuber,Christos Giagos,0,0,36,38,0,0,1,0,Lightweight,SUB Anaconda Choke,2,3:26
988,a5d76e93a5052e3f,win,Kyle Nelson,Fernando Padilla,0,0,82,72,0,0,0,0,Featherweight,U-DEC,3,5:00
989,79f03eca3fe5cdb3,win,Loopy Godinez,Elise Reed,1,0,21,3,5,0,6,0,Women's Strawweight,SUB Rear Naked Choke,2,3:38
990,7a0813ec0fadc84e,win,Roman Kopylov,Josh Fremd,1,0,49,38,0,0,0,0,Middleweight,KO/TKO Punch,2,4:44
991,5d3e046b6bcd49f5,ncnc,Edgar Chairez,Daniel Lacerda,0,0,12,4,0,1,1,0,Flyweight,Overturned,1,3:47
992,bcec26b425194e40,win,Tracy Cortez,Jasmine Jasudavicius,0,0,103,77,0,2,0,0,Women's Flyweight,U-DEC,3,5:00
993,58b2fdad7af9be02,win,Charlie Campbell,Alex Reyes,1,0,43,14,0,0,0,0,Lightweight,KO/TKO Punches,1,3:38
994,11318a7807cee8ca,win,Josefine Knutsson,Marnic Mann,0,0,81,8,3,0,0,0,Women's Strawweight,U-DEC,3,5:00
995,7f16e7725245bb2d,win,Sean Strickland,Israel Adesanya,1,0,137,94,0,0,0,0,Middleweight,U-DEC,5,5:00
996,e4ed294e16e16d81,win,Alexander Volkov,Tai Tuivasa,1,0,93,28,0,0,1,0,Heavyweight,SUB Ezekiel Choke,2,4:37
997,222bb2c67a87d312,win,Manel Kape,Felipe dos Santos,1,0,112,99,1,0,0,0,Flyweight,U-DEC,3,5:00
998,f9d2137f380e66bf,win,Justin Tafa,Austen Lane,1,0,11,7,0,0,0,0,Heavyweight,KO/TKO Punch,1,1:22
999,3e1c27f17433f9e4,win,Tyson Pedro,Anton Turkalj,1,0,16,8,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,2:12
1000,a3d75cc363a6544b,win,Carlos Ulberg,Da Woon Jung,1,0,81,58,1,1,1,0,Light Heavyweight,SUB Rear Naked Choke,3,4:49
1001,09a7f0979a58e6ea,win,Chepe Mariscal,Jack Jenkins,0,0,38,41,1,0,0,0,Featherweight,KO/TKO,2,3:19
1002,0aae15358d8606b9,win,Jamie Mullarkey,John Makdessi,0,0,88,83,0,0,0,0,Lightweight,U-DEC,3,5:00
1003,bfff5a3777841344,win,Nasrat Haqparast,Landon Quinones,0,0,171,148,0,0,0,0,Lightweight,U-DEC,3,5:00
1004,56809feb4fe7ea61,win,Charles Radtke,Blood Diamond,0,0,35,44,1,0,0,0,Welterweight,U-DEC,3,5:00
1005,5d481ff494bf40da,win,Gabriel Miranda,Shane Young,0,0,2,1,1,0,1,0,Featherweight,SUB Rear Naked Choke,1,0:59
