Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
da97d6c97d09c030,ea3ef6206c7907d5,Charles McCarthy,Gideon Ray,0,0,2,9,1,0,1,0,Middleweight,SUB Armbar,1,4:43,baf942f4bcb09894,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Armbar From Side Control,0.16,0.34,1,0,0,0,38,0,0.09,0.22,1.0,1.0,0,0.57,0.09,0.35,1.0,0,0,0,0.17,0.35,0.17,0.35
8b69839f3555a67b,cfb65863d5099327,Martin Kampmann,Thales Leites,1,1,101,46,0,1,0,0,Middleweight,U-DEC,3,5:00,baf942f4bcb09894,W,L,3 Rnd (5-5-5),Yves Lavigne,Marcos Rosales28 - 29.Adalaide Byrd27 - 29.Glenn Trowbridge27 - 29.,0.5,0.26,0,0,0,0,100,150,0.43,0.23,1.0,0.78,1.0,1.0,0.46,0.24,0.77,0.7,1.0,0.38,0.52,0.3,0.51,0.27
1f454354805b6f75,d897897060f10a3a,Anderson Silva,Rich Franklin,1,0,31,10,0,0,0,0,Middleweight,KO/TKO Knees,1,2:59,13b2f59210dda9cc,W,L,5 Rnd (5-5-5-5-5),John McCarthy,Knees to Head In Clinch,0.86,0.43,0,0,0,0,23,0,0.56,0.25,0.96,0.5,1.0,1.0,0.62,0.42,0.93,0.5,0,0,0.86,0.5,0.86,0.43
029880cdbf5ca089,cb139171ed1b69fe,Sean Sherk,Kenny Florian,0,0,60,23,8,0,1,4,Lightweight,U-DEC,5,5:00,13b2f59210dda9cc,W,L,5 Rnd (5-5-5-5-5),Steve Mazzagatti,Tony Weeks46 - 49.Jeff Mullen46 - 49.Cecil Peoples45 - 50.,0.57,0.57,1,4,0,1,1189,32,0.56,0.43,1.0,0.91,0.8,1.0,0.53,0.43,0.5,0,0.59,0.92,0.74,0.82,0.58,0.57
6f018c039b4d5d80,9d4522df6fc49a47,Jon Fitch,Kuniyoshi Hironaka,0,0,44,4,5,0,0,2,Welterweight,U-DEC,3,5:00,13b2f59210dda9cc,W,L,3 Rnd (5-5-5),Mario Yamasaki,Abe Belardo25 - 30.Lester Griffin27 - 30.Glenn Trowbridge27 - 30.,0.56,0.23,0,2,0,0,720,50,0.53,0.14,0.67,0.67,1.0,0,0.47,0.2,0.25,0.5,0.67,0,0.8,0.55,0.56,0.24
aa03a3ca00ac6827,1eacf73d6a0055dc,Carmelo Marrero,Cheick Kongo,0,0,16,18,6,0,0,2,Heavyweight,S-DEC,3,5:00,13b2f59210dda9cc,W,L,3 Rnd (5-5-5),Yves Lavigne,Nelson Hamilton28 - 29.Lester Griffin28 - 29.Tony Weeks29 - 28.,0.51,0.42,0,2,0,0,543,164,0.3,0.2,0.91,1.0,0,0.56,0.0,0.36,0.0,1.0,0.55,0.0,0.8,0.74,0.52,0.43
f34312c2ccfa0e00,4c8d6fde2dde07c4,Spencer Fisher,Dan Lauzon,1,0,13,8,0,2,0,0,Lightweight,KO/TKO Punches,1,4:38,13b2f59210dda9cc,W,L,3 Rnd (5-5-5),Mario Yamasaki,Punches to Head At Distance,0.76,0.32,0,0,0,0,12,218,0.75,0.3,1.0,0,0,0.5,1.0,0,0.64,0.5,1.0,0.3,0.88,0.39,0.76,0.32
acff437707625fc7,c8136ab8aa32c974,Yushin Okami,Kalib Starnes,0,0,39,19,3,0,1,1,Middleweight,KO/TKO Punches,3,1:40,13b2f59210dda9cc,W,L,3 Rnd (5-5-5),Yves Lavigne,Punches to Head From Back Control,0.51,0.52,1,1,0,0,248,123,0.45,0.24,1.0,0.33,1.0,0.88,0.37,0.32,0.9,1.0,0.65,0,0.57,0.61,0.51,0.53
c47df9303d318c67,1ea8df62b3f8fea6,Clay Guida,Justin James,0,0,26,13,2,0,2,1,Lightweight,SUB Rear Naked Choke,2,4:42,13b2f59210dda9cc,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Rear Naked Choke,0.5,0.36,2,1,0,0,449,26,0.47,0.26,1.0,1.0,1.0,0,0.15,0.12,1.0,0.8,0.61,1.0,0.74,0.54,0.5,0.36
aa1952ec0b3dd8e1,d0d7160824278840,Kurt Pellegrino,Junior Assuncao,0,0,5,1,1,0,1,0,Lightweight,SUB Rear Naked Choke,1,2:04,13b2f59210dda9cc,W,L,3 Rnd (5-5-5),John McCarthy,Rear Naked Choke,0.55,0.16,1,0,0,0,113,0,0.56,0.17,0,0,0,0,0,0.17,0,0,0.56,0,0.81,0.3,0.56,0.17
