,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
2714,Dennis,Reed,,,205.0,,Orthodox,45,62,1,
2715,Karl,Reed,No Worries,6.3,205.0,78.0,Orthodox,6,1,0,
2716,Elise,Reed,,5.3,115.0,63.0,Orthodox,8,5,0,
2717,John,Reedy,The Wild Child,5.8,155.0,,,11,6,0,
2718,James,Reese,JP,5.9,155.0,,,11,10,0,
2719,Zachary,Reese,Savage,6.4,185.0,77.0,Switch,9,2,0,
2720,Stephen,Regman,,5.11,185.0,76.0,Orthodox,9,4,0,
2721,Chad,Reiner,The Grinder,5.11,170.0,,Orthodox,33,18,0,
2722,Jason,Reinhardt,,5.6,135.0,,Orthodox,20,3,0,
2723,Wilson,Reis,,5.4,125.0,65.0,Southpaw,23,10,0,
2724,Ben,Reiter,The Hunter,6.3,185.0,,,17,2,1,
2725,Goran,Reljic,,6.3,205.0,81.0,Southpaw,15,8,0,
2726,Leigh,Remedios,Bulldog,5.7,155.0,,Orthodox,18,10,2,
2727,Ren,Yawei,,5.9,155.0,69.0,Orthodox,9,4,0,
2728,Paulo,Renato Junior,,6.0,205.0,73.0,Orthodox,12,3,0,
2729,Chance,Rencountre,Black Eagle,6.2,170.0,75.0,Southpaw,14,4,0,
2730,Montserrat,Rendon,Monster,5.8,135.0,68.0,Orthodox,6,1,0,
2731,Marion,Reneau,The Belizean Bruiser,5.6,135.0,68.0,Orthodox,9,8,1,
2732,Solomon,Renfro,The Black Dragon,5.9,170.0,72.0,Switch,8,2,0,
2733,John,Renken,The Saint,6.0,190.0,,Orthodox,18,28,4,
2734,Herman,Renting,,6.0,215.0,,Switch,1,3,0,
2735,Marco Polo,Reyes,,5.11,155.0,71.0,Orthodox,8,7,0,
2736,Dominick,Reyes,The Devastator,6.4,205.0,77.0,Southpaw,15,4,0,
2737,Alex,Reyes,The Executioner,5.11,155.0,73.0,Orthodox,13,5,0,
2738,Kyle,Reyes,Boom,5.8,145.0,,,15,7,0,
2739,Javier,Reyes,Blair,,145.0,,,21,5,0,
2740,Victor,Reyna,Kelevra,5.11,170.0,74.0,Southpaw,11,5,0,
2741,Gaston,Reyno,Tonga,6.0,145.0,,,6,2,0,
2742,Mike,Rhodes,Biggie,6.1,170.0,74.0,Orthodox,10,5,0,
2743,Lucrezia,Ria,,5.6,125.0,,Orthodox,8,2,0,
2744,Amanda,Ribas,,5.4,115.0,66.0,Orthodox,13,7,0,
2745,Vitor,Ribeiro,Shaolin,5.8,154.0,,Orthodox,20,5,0,
2746,Will,Ribeiro,,5.8,135.0,,Orthodox,10,2,0,
2747,Claudio,Ribeiro,,6.1,185.0,77.0,Orthodox,11,5,0,
2748,Brendson,Ribeiro,The Gorilla,6.3,205.0,81.0,Orthodox,17,8,0,
2749,Esteban,Ribovics,El Gringo,5.1,155.0,69.0,Orthodox,15,2,0,
2750,Mike,Ricci,The Martian,6.0,155.0,76.0,Southpaw,11,5,0,
2751,Alex,Ricci,,5.11,155.0,,Orthodox,10,5,0,
2752,Tabatha,Ricci,Baby Shark,5.1,115.0,61.0,Orthodox,12,3,0,
2753,Matt,Ricehouse,,,155.0,,,6,1,0,
2754,John,Richard,,,205.0,,,3,5,1,
2755,Rex,Richards,,6.5,265.0,,,7,2,0,
2756,Mike,Richman,The Marine,5.8,135.0,,,18,7,0,
2757,Dave,Rickels,The Caveman,5.11,155.0,,,18,4,0,
2758,Haisam,Rida,,,,,,0,0,0,
2759,Brad,Riddell,Quake,5.7,155.0,71.0,Orthodox,10,4,0,
2760,Matthew,Riddle,Deep Waters,6.1,170.0,76.0,Southpaw,8,3,0,
2761,Joe,Riggs,Diesel,6.0,185.0,70.0,Southpaw,44,17,0,
2762,Jeremiah,Riggs,,6.0,185.0,,,7,8,0,
2763,Aaron,Riley,,5.8,155.0,69.0,Southpaw,30,14,1,
2764,Jason,Riley,The Juggernaut,6.6,245.0,,,10,7,0,
2765,Luke,Riley,,,145.0,,,9,0,0,
2766,Jordan,Rinaldi,All Day,5.1,145.0,72.0,Orthodox,14,7,0,
2767,Nick,Ring,The Promise,6.0,185.0,74.0,Southpaw,14,4,0,
2768,Robbie,Ring,Razor,5.9,145.0,68.0,Orthodox,6,1,0,
2769,Mike,Rio,The Wolverine,5.1,155.0,70.0,Orthodox,10,5,0,
2770,Albert,Rios,,5.8,145.0,,,13,6,0,
2771,Rafael,Rios,,,150.0,,,4,2,0,
2772,Maria,Rios,,5.5,125.0,,,2,3,0,
2773,Shannon,Ritch,The Cannon,5.9,190.0,,Orthodox,56,83,0,
2774,Diego,Rivas,Pitbull,5.8,145.0,69.0,Orthodox,10,2,0,
2775,Jorge,Rivera,El Conquistador,6.1,185.0,73.0,Orthodox,20,9,0,
2776,Dante,Rivera,,6.1,185.0,,Southpaw,16,7,0,
2777,Mario,Rivera,,5.1,170.0,,,6,8,0,
2778,Francisco,Rivera,Cisco,5.8,135.0,70.0,Orthodox,11,7,0,
2779,Jonathan,Rivera,,,155.0,,,4,2,0,
2780,Jimmie,Rivera,El Terror,5.4,135.0,68.0,Orthodox,23,5,0,
2781,Irwin,Rivera,The Beast,5.6,135.0,67.0,Southpaw,10,6,0,
2782,Jerome,Rivera,Renegade,5.1,125.0,72.0,Southpaw,10,6,0,
2783,Nicdali,Rivera-Calanoc,The Night Queen,5.3,105.0,,,9,10,0,
2784,Pedro,Rizzo,The Rock,6.1,241.0,,Orthodox,20,11,0,
2785,Theo,Rlayang,Jungle King,5.7,145.0,65.0,Orthodox,5,1,0,
2786,Justin,Robbins,,5.5,135.0,,,14,18,1,
2787,Kali,Robbins,Pop Tart,5.3,115.0,63.0,Orthodox,6,3,0,
2788,Karl,Roberson,Baby K,6.1,205.0,74.0,Southpaw,9,6,0,
2789,Andre,Roberts,The Chief,6.2,345.0,,Orthodox,14,2,1,
2790,Joey,Roberts,,6.2,200.0,,,4,3,0,
2791,Tyrone,Roberts,Native Warrior,5.9,185.0,,Orthodox,43,12,1,
2792,Ryan,Roberts,,5.6,155.0,,Orthodox,21,12,1,
2793,Taylor,Roberts,,5.11,170.0,,,3,12,0,
2794,Daniel,Roberts,Ninja,5.1,170.0,74.0,Southpaw,15,7,0,
2795,Buddy,Roberts,,6.2,185.0,,Orthodox,12,3,0,
2796,Danny,Roberts,Hot Chocolate,6.1,170.0,74.0,Southpaw,18,8,0,
2797,Roosevelt,Roberts,The Predator,6.2,155.0,73.0,Orthodox,12,6,0,
2798,Kenny,Robertson,,5.1,170.0,74.0,Orthodox,15,5,0,
2799,Gillian,Robertson,The Savage,5.5,115.0,63.0,Orthodox,16,8,0,
2800,Chad,Robichaux,Robo,5.4,135.0,,,13,2,0,
2801,Mark,Robinson,White Rhino,6.0,265.0,,Orthodox,1,0,0,
2802,Colin,Robinson,Big C,6.4,243.0,,Orthodox,10,12,0,
2803,Alvin,Robinson,,5.9,155.0,68.0,Southpaw,15,9,0,
2804,Damonte,Robinson,,6.0,155.0,77.0,,6,1,1,
2805,Vagner,Rocha,Ceara,5.1,155.0,73.0,Orthodox,14,4,0,
2806,Carlos Eduardo,Rocha,Ta Danado,5.1,170.0,73.0,Orthodox,9,4,0,
2807,Pedro,Rocha,,,,,,1,0,0,
2808,Lucas,Rocha,Fenomeno,5.3,125.0,64.0,Orthodox,17,2,0,
2809,Shaqueme,Rock,Shem,,155.0,,,12,1,1,
2810,Keith,Rockel,Rock,6.0,185.0,,Orthodox,12,4,1,
2811,Luke,Rockhold,,6.3,185.0,77.0,Southpaw,16,6,0,
2812,Kevin,Roddy,K-Rod,5.11,145.0,,,15,16,1,
2813,Gregory,Rodrigues,Robocop,6.3,185.0,75.0,Orthodox,17,6,0,
2814,Paul,Rodriguez,,5.7,155.0,,Orthodox,10,9,2,
2815,Ricco,Rodriguez,Suave,6.4,265.0,,Orthodox,53,25,0,
2816,Manuel,Rodriguez,Chalate,5.9,170.0,,Orthodox,11,5,0,
2817,Yair,Rodriguez,El Pantera,5.11,145.0,71.0,Orthodox,21,6,0,
2818,Mike,Rodriguez,Slo Mike,6.4,205.0,82.0,Southpaw,11,7,0,
2819,Marina,Rodriguez,,5.6,115.0,65.0,Orthodox,17,6,2,
2820,Daniel,Rodriguez,D-Rod,6.1,170.0,74.0,Southpaw,20,5,0,
2821,Ray,Rodriguez,The Judge,5.7,135.0,70.0,Orthodox,16,8,0,
2822,Ronaldo,Rodriguez,Lazy Boy,5.6,125.0,65.0,Orthodox,17,3,0,
2823,Drako,Rodriguez,,5.8,135.0,69.0,Orthodox,7,3,0,
2824,Victor,Rodriguez,Vicious,5.5,125.0,67.0,Switch,7,4,0,
2825,Piera,Rodriguez,La Fiera,5.3,115.0,63.0,Orthodox,11,2,0,
2826,Christian,Rodriguez,Ceerod,5.7,145.0,71.0,Orthodox,12,4,0,
2827,Pete,Rodriguez,Dead Game,5.9,170.0,71.0,Switch,5,2,0,
2828,Imanol,Rodriguez,Himan,,125.0,,,5,0,0,
2829,Nick,Roehrick,,6.2,205.0,,Orthodox,7,1,0,
2830,Marcos,Rogerio de Lima,Pezao,6.1,253.0,75.0,Orthodox,22,10,1,
2831,Brett,Rogers,The Grim,6.5,265.0,81.0,Orthodox,17,10,0,
2832,Brian,Rogers,The Professional Predator,5.11,185.0,,,14,9,0,
2833,Pete,Rogers Jr.,The Heat,6.0,145.0,,,2,4,0,
2834,Max,Rohskopf,Rated R,6.1,155.0,71.0,Orthodox,5,1,0,
2835,Marcelo,Rojo,Pitbull,5.8,145.0,71.0,Orthodox,16,10,0,
2836,Shane,Roller,,5.1,155.0,72.0,Orthodox,11,7,0,
2837,Jared,Rollins,J-Roc,5.9,170.0,,Orthodox,8,4,0,
2838,Alexandr,Romanov,King Kong,6.2,262.0,75.0,Southpaw,18,3,0,
2839,Ricardo,Romero,,6.0,205.0,76.0,Orthodox,11,3,0,
2840,Yoel,Romero,Soldier of God,6.0,185.0,73.0,Southpaw,13,5,0,
2841,Anthony,Romero,The Genius,5.11,155.0,70.0,Orthodox,8,0,0,
2842,Kaleio,Romero,KO,5.1,145.0,69.0,Switch,6,2,0,
2843,Roberto,Romero,El Charro Negro,5.8,145.0,70.0,Orthodox,8,5,1,
2844,Mara,Romero Borella,,5.6,125.0,69.0,Orthodox,12,9,0,
2845,Cortavious,Romious,,5.4,135.0,68.0,Southpaw,9,4,0,
2846,Juancamilo,Ronderos,100,5.3,125.0,64.0,Southpaw,4,2,0,
2847,,Rongzhu,,5.9,155.0,71.0,Orthodox,27,6,0,
2848,Jesse,Ronson,The Body Snatcher,5.1,155.0,70.0,Southpaw,21,12,0,
2849,George,Roop,,6.1,135.0,72.0,Orthodox,15,13,1,
2850,Joao,Roque,,5.6,155.0,,Orthodox,7,2,4,
2851,Aaron,Rosa,,6.4,205.0,77.0,Orthodox,18,6,0,
2852,Charles,Rosa,Boston Strong,5.9,145.0,69.0,Switch,14,8,0,
2853,Karol,Rosa,,5.5,135.0,67.0,Orthodox,19,7,0,
2854,Jacob,Rosales,The Lil Badger,5.11,155.0,74.0,Orthodox,13,7,0,
2855,Raul,Rosas Jr.,El Nino Problema,5.9,135.0,67.0,Switch,11,1,0,
2856,Hilarie,Rose,,5.3,115.0,63.0,Orthodox,4,2,0,
2857,Jake,Rosholt,,6.1,185.0,,Orthodox,12,5,0,
2858,Jared,Rosholt,,6.2,265.0,75.0,Orthodox,14,4,0,
2859,Kevin,Rosier,,6.4,275.0,,Orthodox,2,6,0,
2860,Zach,Rosol,,,243.0,,,3,2,0,
2861,Shannon,Ross,The Turkish Delight,5.6,125.0,66.0,Switch,13,9,0,
2862,Kristian,Rothaermel,,6.0,205.0,,Open Stance,4,3,0,
2863,Ben,Rothwell,,6.4,265.0,78.0,Orthodox,39,14,0,
2864,Rick,Roufus,,6.0,207.0,,Southpaw,4,6,0,
2865,Khalil,Rountree Jr.,,6.1,205.0,76.0,Southpaw,15,6,0,
2866,Ronda,Rousey,Rowdy,5.7,135.0,66.0,Orthodox,12,2,0,
2867,Ray,Routh,,5.8,185.0,,Orthodox,2,1,0,
2868,Roberta,Rovel,Crusher,5.8,145.0,,,4,1,0,
2869,Phil,Rowe,The Fresh Prince,6.3,170.0,80.0,Orthodox,11,5,0,
2870,Cam,Rowston,Battle Giraffe,6.3,185.0,78.0,Orthodox,12,3,0,
2871,Kain,Royer,,,185.0,,,2,2,0,
2872,Brad,Royster,,,135.0,,,1,2,0,
2873,Brandon,Royval,Raw Dawg,5.9,125.0,68.0,Southpaw,17,8,0,
2874,Jairzinho,Rozenstruik,Bigi Boy,6.2,242.0,78.0,Orthodox,15,6,0,
2875,Mauricio,Rua,Shogun,6.1,205.0,76.0,Orthodox,27,14,1,
2876,Murilo,Rua,Ninja,5.11,185.0,,Orthodox,20,13,1,
2877,Marco,Ruas,King of the Streets,6.1,210.0,,Orthodox,9,4,2,
2878,Rodrigo,Ruas,,5.1,185.0,,Orthodox,4,5,1,
2879,Rodolfo,Rubio Perez,Fito,5.5,145.0,,Orthodox,10,16,1,
2880,Robert,Ruchala,,,145.0,,,11,1,0,
2881,Gabe,Ruediger,Godzilla,5.1,155.0,,Orthodox,18,8,0,
2882,Mauricio,Ruffy,,5.11,155.0,75.0,Orthodox,12,1,0,
2883,Eddie,Ruiz,,5.7,155.0,,Orthodox,1,1,0,
2884,Anthony,Ruiz,El Toro,6.2,205.0,,Orthodox,33,22,0,
2885,Paul,Ruiz,,5.6,135.0,,,7,4,0,
2886,Yusup,Saadulaev,Maestro,5.6,135.0,,,16,4,1,
2887,Cameron,Saaiman,MSP,5.8,135.0,67.0,Southpaw,9,3,0,
2888,Pete,Sabala,,,135.0,,,3,15,0,
2889,Danny,Sabatello,Italian Gangster,5.1,135.0,71.0,Orthodox,9,1,0,
2890,Pat,Sabatini,,5.8,145.0,70.0,Orthodox,20,5,0,
2891,Amir,Sadollah,,5.1,170.0,75.0,Orthodox,6,5,0,
2892,Nazim,Sadykhov,Black Wolf,5.1,155.0,69.0,Southpaw,11,1,1,
2893,Frankie,Saenz,,5.6,135.0,66.0,Orthodox,13,7,0,
2894,Terrance,Saeteurn,Wrong Turn,5.6,125.0,67.0,Orthodox,8,2,0,
2895,Saparbeg,Safarov,,6.1,185.0,78.0,Orthodox,9,3,0,
2896,Tarec,Saffiedine,Sponge,5.1,170.0,70.0,Switch,16,7,0,
2897,Jason,Saggo,,5.11,155.0,71.0,Orthodox,12,4,0,
2898,Kiru,Sahota,,5.1,125.0,73.0,Orthodox,12,3,0,
2899,Tatsuya,Saika,Yanbo,6.0,155.0,73.0,Orthodox,11,5,0,
2900,Mridul,Saikia,Crusher,5.7,125.0,68.0,Orthodox,8,1,0,
2901,Kaushik,Saikumar,The Pride of Chennai,5.1,135.0,71.0,Orthodox,5,1,0,
2902,Benoit,Saint Denis,God of War,5.11,155.0,73.0,Southpaw,14,3,0,
2903,Ovince,Saint Preux,,6.3,205.0,80.0,Southpaw,27,18,0,
2904,Lukasz,Sajewski,Wookie,5.8,155.0,71.0,Orthodox,13,3,0,
2905,Yukio,Sakaguchi,,5.9,185.0,,Orthodox,6,7,0,
2906,Augusto,Sakai,,6.3,265.0,77.0,Orthodox,16,5,1,
2907,Alessio,Sakara,Legionarius,6.0,185.0,72.0,Orthodox,19,11,0,
2908,Wataru,Sakata,,5.9,195.0,,Southpaw,11,14,0,
2909,Gokhan,Saki,The Rebel,6.0,205.0,73.0,Orthodox,1,2,0,
2910,Kazushi,Sakuraba,The Gracie Hunter,6.0,185.0,,Southpaw,26,17,1,
2911,Hayato,Sakurai,Mach,5.7,168.0,,Orthodox,38,13,2,
2912,Ryuta,Sakurai,,5.7,183.0,,Orthodox,24,24,6,
2913,Justin,Salas,J-Bomb,5.8,155.0,70.0,Southpaw,12,7,0,
2914,Ivan,Salaverry,,6.0,185.0,,Orthodox,14,9,0,
2915,Roman,Salazar,El Gallito,5.7,135.0,,Orthodox,10,6,0,
2916,Luis,Saldana,,5.11,145.0,73.0,Orthodox,16,7,1,
2917,John,Salgado,Greco,5.1,170.0,,,4,8,1,
2918,Muslim,Salikhov,King of Kung Fu,5.11,170.0,70.0,Orthodox,22,5,0,
2919,Gabriel,Salinas-Jones,,6.1,245.0,,,5,2,1,
2920,Brandon,Saling,White Steel,5.1,170.0,,,8,6,0,
2921,Quillan,Salkilld,,6.0,155.0,75.0,Orthodox,9,1,0,
2922,Sean,Salmon,,5.1,185.0,,Southpaw,18,21,0,
2923,Boston,Salmon,Boom Boom,5.9,135.0,69.0,Southpaw,6,3,0,
2924,John,Salter,,6.1,185.0,74.0,Southpaw,14,3,0,
2925,Vinicius,Salvador,,5.7,135.0,70.0,Southpaw,14,7,0,
2926,Dylan,Salvador,,5.9,155.0,69.0,Southpaw,5,2,0,
2927,Josh,Samman,Anqa,6.3,185.0,79.0,Orthodox,13,4,0,
2928,Johnny,Sampaio,,5.8,170.0,,Orthodox,3,1,0,
2929,Josh,Sampo,The Gremlin,5.4,125.0,64.0,Orthodox,11,5,0,
2930,Josh,San Diego,JSD,5.1,135.0,,,8,3,0,
2931,Samuel,Sanches,The Prodigy,,155.0,,,10,1,0,
2932,Diego,Sanchez,Nightmare,5.1,170.0,72.0,Southpaw,31,13,0,
2933,Eddie,Sanchez,The Manic Hispanic,6.2,230.0,74.0,Orthodox,15,8,0,
2934,Julian,Sanchez,,6.3,300.0,,Orthodox,0,1,0,
2935,Donald,Sanchez,,5.1,145.0,,,31,17,0,
2936,Joby,Sanchez,,5.6,135.0,68.0,Orthodox,11,4,0,
2937,Emmanuel,Sanchez,El Matador,5.9,145.0,71.0,,15,3,0,
2938,Erick,Sanchez,,5.1,145.0,,,8,3,0,
2939,Andrew,Sanchez,El Dirte,6.1,185.0,74.0,Orthodox,13,7,0,
2940,Robert,Sanchez,Littlefury,5.6,125.0,66.0,Orthodox,8,2,0,
2941,Jesse,Sanders,,6.0,170.0,,Orthodox,23,7,0,
2942,Luke,Sanders,Cool Hand,5.6,135.0,67.0,Southpaw,13,5,0,
2943,Jerrod,Sanders,J-Reazie,5.8,135.0,72.0,Orthodox,16,3,0,
2944,Cory,Sandhagen,,5.11,135.0,70.0,Switch,18,5,0,
2945,Hugo,Sandoval,,,135.0,,,2,3,0,
2946,Raul,Sandoval,,,130.0,,,3,3,0,
2947,Joseph,Sandoval,,5.7,135.0,,Southpaw,7,7,0,
2948,Hector,Sandoval,Kid Alex,5.2,125.0,64.0,Orthodox,14,4,0,
2949,Chris,Sanford,,5.11,185.0,,Orthodox,5,1,0,
2950,Roldan,Sangcha'an,The Executioner,5.4,125.0,,Orthodox,4,2,0,
2951,Yuhi,Sano,,5.11,243.0,,Orthodox,0,4,0,
2952,Martin,Sano,Spartan,5.11,170.0,75.0,Orthodox,4,3,1,
2953,Jonathan,Santa Maria,,5.9,125.0,,,3,4,0,
2954,Duda,Santana,Cowboyzinha,5.7,145.0,73.0,Orthodox,3,1,0,
2955,Shaheen,Santana,Shazam,6.1,155.0,75.0,Orthodox,6,1,0,
2956,Neemias,Santana,,6.2,185.0,76.0,Orthodox,7,3,1,
2957,Sean,Santella,Shorty Rock,5.5,125.0,,,17,6,1,
2958,Jorge,Santiago,The Sandman,6.1,170.0,75.0,Orthodox,25,12,0,
2959,Will,Santiago,The Brown Bomber,5.7,185.0,,Orthodox,9,5,0,
2960,Richie,Santiago,The Milford Mauler,5.7,135.0,67.0,Southpaw,7,2,0,
2961,Jose,Santibanez,,,155.0,,,10,3,0,
2962,Art,Santore,Pachuco,6.2,185.0,,,18,8,0,
2963,Adriano,Santos,,,,,,0,1,0,
2964,Paulo,Santos,,,,,,0,3,0,
2965,Evangelista,Santos,Cyborg,5.1,170.0,76.0,Orthodox,21,18,0,
2966,Luis,Santos,,6.1,170.0,,Southpaw,63,10,1,
2967,Iliarde,Santos,,5.5,125.0,67.0,Orthodox,30,13,1,
2968,Leonardo,Santos,,6.0,155.0,75.0,Orthodox,18,7,1,
2969,Thiago,Santos,Marreta,6.2,205.0,76.0,Orthodox,22,11,0,
2970,Bruno,Santos,Carioca,5.9,185.0,,Orthodox,15,2,0,
2971,Andre,Santos,Chatuba,6.0,170.0,,,38,10,0,
2972,Gleristone,Santos,Toninho Furia,5.9,145.0,,,33,7,0,
2973,Yana,Santos,,5.6,135.0,68.0,Orthodox,16,8,0,
2974,Taila,Santos,,5.6,125.0,68.0,Orthodox,19,3,0,
2975,Marilia,Santos,Chocolate,5.4,125.0,,Orthodox,10,3,0,
2976,Edivan,Santos,Pe De Sapo,6.4,248.0,78.0,Orthodox,12,3,1,
2977,Daniel,Santos,Willycat,5.7,145.0,67.0,Orthodox,13,2,0,
2978,Gabriel,Santos,Mosquitinho,5.9,145.0,70.0,Orthodox,12,2,0,
2979,Luana,Santos,,5.6,135.0,67.0,Orthodox,9,2,0,
2980,Djorden,Santos,Shakur,6.0,185.0,75.0,Orthodox,10,2,0,
2981,Mairon,Santos,The Legend,5.7,155.0,72.0,Orthodox,17,1,0,
2982,Nick,Sanzo,,5.9,190.0,,,1,1,0,
2983,Daniel,Sarafian,,5.9,185.0,73.0,Orthodox,10,6,0,
2984,Jeka,Saragih,,5.8,145.0,69.0,Orthodox,14,5,0,
2985,Diego,Saraiva,The Octopus,5.6,155.0,,Orthodox,22,20,1,
2986,Harris,Sarmiento,The Hitman,5.9,155.0,,Orthodox,36,26,0,
2987,Alexander,Sarnavskiy,Tiger,5.11,155.0,,,35,6,0,
2988,Yuki,Sasaki,,6.2,185.0,,Orthodox,25,22,2,
2989,Kyosuke,Sasaki,,5.7,183.0,,Southpaw,3,7,4,
2990,Yuta,Sasaki,Ulka,5.1,125.0,71.0,Southpaw,21,6,2,
2991,Paul,Sass,,6.0,155.0,73.0,Orthodox,14,2,0,
2992,Keisuke,Sasu,Sasuke,5.5,145.0,69.0,Switch,11,3,1,
2993,Masaaki,Satake,,6.1,220.0,,Orthodox,1,8,1,
2994,Takenori,Sato,,5.1,170.0,,Southpaw,19,11,7,
2995,Takashi,Sato,Ten,5.1,170.0,73.0,Southpaw,16,7,0,
2996,Shogo,Sato,Tora,5.5,170.0,66.0,Southpaw,5,1,0,
2997,Uran,Satybaldiev,Gorilla,6.4,205.0,79.0,Orthodox,9,1,0,
2998,Jeimeson,Saudino,The Minion,5.6,135.0,,,8,5,0,
2999,Tom,Sauer,,6.1,263.0,,,25,12,0,
3000,Townsend,Saunders,,5.5,170.0,,Orthodox,0,2,0,
3001,Ben,Saunders,Killa B,6.2,170.0,77.0,Orthodox,22,13,2,
3002,Chad W.,Saunders,,5.1,170.0,,Orthodox,7,2,0,
3003,Chris,Saunders,The So Cal Kid,5.8,155.0,,,16,8,0,
3004,Christien,Savoie,The Tiger,5.11,170.0,72.0,Orthodox,10,2,1,
3005,Lumumba,Sayers,,6.0,185.0,,,6,5,0,
3006,Matt,Sayles,,5.7,155.0,68.0,Orthodox,8,4,0,
3007,Mikheil,Sazhiniani,Spartan,6.0,205.0,71.0,Orthodox,13,3,0,
3008,Mark,Scanlon,,5.9,170.0,,Orthodox,9,2,0,
3009,Eric,Schafer,Red,6.3,185.0,76.0,Orthodox,14,8,2,
3010,Kerry,Schall,Meat Truck,6.2,265.0,,Orthodox,24,13,0,
3011,Eric,Schambari,,5.11,185.0,,Orthodox,15,6,0,
3012,Brendan,Schaub,Big Brown,6.4,245.0,78.0,Orthodox,10,5,0,
3013,Matheus,Scheffel,Buffa,6.2,205.0,75.0,Orthodox,14,7,0,
3014,Antonio,Schembri,Nino,5.9,205.0,,Orthodox,5,5,0,
3015,Fabiano,Scherner,Pegaleve,6.3,257.0,,Orthodox,11,10,0,
3016,Samy,Schiavo,,5.8,155.0,,Orthodox,10,6,0,
3017,Pat,Schilling,Thrilling,5.8,145.0,,Orthodox,5,2,0,
3018,Joe,Schilling,,6.3,185.0,,,2,5,0,
3019,Semmy,Schilt,Hightower,6.1,265.0,,Orthodox,26,14,1,
3020,Adam,Schindler,,5.8,155.0,,,10,6,0,
3021,Daniel,Schmitt,,,185.0,,,2,3,0,
3022,Colleen,Schneider,,,135.0,,,11,7,0,
3023,Matt,Schnell,Danger,5.8,125.0,70.0,Orthodox,17,9,0,
3024,Alex,Schoenauer,,6.3,185.0,,Orthodox,15,10,0,
3025,Bailey,Schoenfelder,Berserk,6.3,265.0,76.0,Orthodox,5,1,0,
3026,Darrill,Schoonover,The Boss,6.2,220.0,,Orthodox,14,8,0,
3027,Bob,Schrijber,Dirty,6.0,240.0,,Orthodox,20,17,1,
3028,Nate,Schroeder,,6.1,230.0,,,11,10,0,
3029,Lacey,Schuckman,,5.3,125.0,,,11,10,0,
3030,Mark,Schultz,,5.9,200.0,,Orthodox,1,1,0,
3031,Brian,Schwartz,,6.3,170.0,,Orthodox,1,1,0,
3032,Eric,Schwartz,,,205.0,,,2,0,0,
3033,Justin,Scoggins,,5.7,125.0,66.0,Southpaw,11,5,0,
3034,Brad,Scott,Bear,6.1,170.0,76.0,Orthodox,11,6,0,
3035,Greg,Scott,,5.9,145.0,,,3,4,0,
3036,Louis Lee,Scott,Lightning,5.8,135.0,70.0,Orthodox,10,0,0,
3037,Zachary,Scroggin,,6.3,170.0,74.0,Orthodox,7,1,0,
3038,Mike,Seal,Crazy Boy,6.4,185.0,,Orthodox,13,15,1,
3039,Demba,Seck,Black Tiger,,145.0,,,10,2,0,
3040,Matt,Secor,,6.0,170.0,,,8,4,0,
3041,Kenneth,Seegrist,,6.0,185.0,,Orthodox,4,7,0,
3042,Neil,Seery,2Tap,5.4,125.0,64.0,Orthodox,16,13,0,
3043,Rony,Sefo,,5.9,225.0,,Orthodox,0,2,0,
3044,Ray,Sefo,Sugarfoot,6.0,240.0,,Orthodox,2,2,0,
3045,Brendan,Seguin,,6.0,185.0,,,23,19,1,
3046,Tetsuya,Seki,,5.1,155.0,,,14,8,1,
3047,Stefan,Sekulic,,6.0,170.0,75.0,Southpaw,12,4,0,
3048,Pete,Sell,Drago,5.11,170.0,75.0,Orthodox,10,7,0,
3049,Matthew,Semelsberger,Semi The Jedi,6.1,170.0,75.0,Switch,11,8,0,
3050,Andrei,Semenov,,6.0,185.0,,Orthodox,34,9,2,
3051,Mackens,Semerzier,Da Menace,5.9,145.0,72.0,Orthodox,8,4,0,
3052,Brandon,Sene,,5.11,205.0,,,2,2,0,
3053,YeDam,Seo,,5.3,115.0,63.0,Orthodox,7,4,0,
3054,DongHyun,Seo,Pinnacle,5.5,145.0,67.0,Orthodox,7,3,1,
3055,Ray,Seraille,,6.3,246.0,,,8,9,0,
3056,Ivan,Serati,,6.0,205.0,,Orthodox,12,4,0,
3057,Alex,Serdyukov,The Russian Crusher,6.2,170.0,74.0,Orthodox,8,5,0,
3058,Nicholas,Sergiacomi,,,170.0,,,1,1,0,
3059,Matt,Serra,The Terra,5.6,170.0,68.0,Orthodox,11,7,0,
3060,Nick,Serra,The Mad Monkey,5.9,170.0,,Orthodox,7,3,0,
3061,Adrian,Serrano,,5.8,170.0,,,56,29,4,
3062,Fredy,Serrano,El Profe,5.3,125.0,65.0,Orthodox,3,2,0,
3063,Carl,Seumanutafa,,6.1,255.0,,Orthodox,10,8,0,
3064,Igor,Severino,,5.7,125.0,69.0,Orthodox,8,1,0,
3065,Dan,Severn,The Beast,6.2,250.0,,Southpaw,101,19,1,
3066,Rosi,Sexton,The Surgeon,5.3,135.0,,Orthodox,13,5,0,
3067,Rodrigo,Sezinando,,,170.0,,Orthodox,9,1,0,
3068,Scott,Shaffer,,5.7,145.0,,Orthodox,0,1,0,
3069,Edmen,Shahbazyan,The Golden Boy,6.2,185.0,75.0,Orthodox,15,5,0,
3070,Leon,Shahbazyan,,6.4,170.0,74.0,Orthodox,7,2,0,
3071,Don,Shainis,Shameless,5.6,145.0,67.0,Orthodox,12,5,0,
